
============================================================
  Experiment: RHS  |  Site: Ejin
============================================================
  Initial params (from estimate):
    α   = 0.2640,  σ = 0.9032,  z₀ₘ = 2.2517e-03
    k   = 2.4728,     C = 2.18e+06
  Spin-up (20 iterations) ...
  Spin-up done.  T0[:4] = [287.31274 287.88788 289.38284 290.2757 ]
  Optimizing (500 epochs) ...
    Epoch   0/500  loss=84.476036  α=0.2540  σ=0.8932  z₀ₘ=1.23e-02  k=2.3728  C=1.97e+06  T0=286.31
    Epoch  10/500  loss=52.142666  α=0.2708  σ=0.9700  z₀ₘ=4.38e-02  k=1.3993  C=9.78e+05  T0=285.35
    Epoch  20/500  loss=46.857346  α=0.2627  σ=1.0323  z₀ₘ=4.59e-02  k=0.6771  C=1.24e+06  T0=284.47
    Epoch  30/500  loss=44.854904  α=0.2649  σ=1.0212  z₀ₘ=3.64e-02  k=0.7557  C=1.65e+06  T0=283.64
    Epoch  40/500  loss=43.006485  α=0.2632  σ=0.9836  z₀ₘ=1.76e-02  k=0.7144  C=1.86e+06  T0=282.85
    Epoch  50/500  loss=54.438927  α=0.2620  σ=0.9348  z₀ₘ=7.11e-03  k=0.3982  C=1.82e+06  T0=282.08
    Epoch  60/500  loss=44.500366  α=0.2615  σ=0.9643  z₀ₘ=4.93e-02  k=0.7826  C=2.15e+06  T0=281.47
    Epoch  70/500  loss=43.434235  α=0.2646  σ=1.0129  z₀ₘ=6.51e-02  k=0.6471  C=2.03e+06  T0=281.04
    Epoch  80/500  loss=43.336128  α=0.2603  σ=1.0108  z₀ₘ=7.10e-02  k=0.5932  C=2.08e+06  T0=280.76
    Epoch  90/500  loss=42.894058  α=0.2578  σ=0.9902  z₀ₘ=7.31e-02  k=0.6121  C=2.26e+06  T0=280.67
    Epoch 100/500  loss=42.641586  α=0.2605  σ=0.9884  z₀ₘ=7.37e-02  k=0.5591  C=2.37e+06  T0=280.75
    Epoch 110/500  loss=42.411121  α=0.2594  σ=0.9959  z₀ₘ=7.39e-02  k=0.5467  C=2.47e+06  T0=280.99
    Epoch 120/500  loss=42.223068  α=0.2592  σ=0.9938  z₀ₘ=7.39e-02  k=0.5381  C=2.50e+06  T0=281.34
    Epoch 130/500  loss=42.040665  α=0.2591  σ=0.9907  z₀ₘ=7.38e-02  k=0.5352  C=2.48e+06  T0=281.79
    Epoch 140/500  loss=41.877975  α=0.2584  σ=0.9916  z₀ₘ=7.36e-02  k=0.5365  C=2.48e+06  T0=282.31
    Epoch 150/500  loss=41.725136  α=0.2585  σ=0.9917  z₀ₘ=7.34e-02  k=0.5286  C=2.49e+06  T0=282.88
    Epoch 160/500  loss=41.583191  α=0.2581  σ=0.9910  z₀ₘ=7.33e-02  k=0.5257  C=2.50e+06  T0=283.47
    Epoch 170/500  loss=41.463737  α=0.2579  σ=0.9911  z₀ₘ=7.31e-02  k=0.5214  C=2.51e+06  T0=284.07
    Epoch 180/500  loss=41.358231  α=0.2578  σ=0.9916  z₀ₘ=7.29e-02  k=0.5176  C=2.51e+06  T0=284.64
    Epoch 190/500  loss=41.269127  α=0.2575  σ=0.9916  z₀ₘ=7.26e-02  k=0.5153  C=2.51e+06  T0=285.15
    Epoch 200/500  loss=41.195984  α=0.2573  σ=0.9917  z₀ₘ=7.24e-02  k=0.5118  C=2.50e+06  T0=285.57
    Epoch 210/500  loss=41.140388  α=0.2571  σ=0.9920  z₀ₘ=7.22e-02  k=0.5088  C=2.50e+06  T0=285.88
    Epoch 220/500  loss=41.086555  α=0.2569  σ=0.9920  z₀ₘ=7.19e-02  k=0.5066  C=2.50e+06  T0=286.05
    Epoch 230/500  loss=41.048409  α=0.2567  σ=0.9924  z₀ₘ=7.16e-02  k=0.5044  C=2.49e+06  T0=286.10
    Epoch 240/500  loss=41.010628  α=0.2566  σ=0.9928  z₀ₘ=7.14e-02  k=0.5025  C=2.48e+06  T0=286.01
    Epoch 250/500  loss=40.972057  α=0.2566  σ=0.9933  z₀ₘ=7.11e-02  k=0.5009  C=2.47e+06  T0=285.81
    Epoch 260/500  loss=40.932835  α=0.2565  σ=0.9938  z₀ₘ=7.08e-02  k=0.4994  C=2.47e+06  T0=285.52
    Epoch 270/500  loss=40.893166  α=0.2565  σ=0.9941  z₀ₘ=7.04e-02  k=0.4980  C=2.46e+06  T0=285.14
    Epoch 280/500  loss=40.855881  α=0.2564  σ=0.9944  z₀ₘ=7.01e-02  k=0.4967  C=2.46e+06  T0=284.70
    Epoch 290/500  loss=40.819069  α=0.2564  σ=0.9948  z₀ₘ=6.97e-02  k=0.4953  C=2.45e+06  T0=284.21
    Epoch 300/500  loss=40.782398  α=0.2563  σ=0.9952  z₀ₘ=6.93e-02  k=0.4939  C=2.45e+06  T0=283.70
    Epoch 310/500  loss=40.751053  α=0.2562  σ=0.9955  z₀ₘ=6.89e-02  k=0.4927  C=2.45e+06  T0=283.17
    Epoch 320/500  loss=40.721500  α=0.2562  σ=0.9958  z₀ₘ=6.85e-02  k=0.4916  C=2.44e+06  T0=282.65
    Epoch 330/500  loss=40.695297  α=0.2561  σ=0.9961  z₀ₘ=6.81e-02  k=0.4905  C=2.44e+06  T0=282.13
    Epoch 340/500  loss=40.670959  α=0.2561  σ=0.9963  z₀ₘ=6.77e-02  k=0.4895  C=2.44e+06  T0=281.63
    Epoch 350/500  loss=40.648659  α=0.2560  σ=0.9964  z₀ₘ=6.72e-02  k=0.4888  C=2.44e+06  T0=281.14
    Epoch 360/500  loss=40.627167  α=0.2560  σ=0.9964  z₀ₘ=6.67e-02  k=0.4879  C=2.44e+06  T0=280.66
    Epoch 370/500  loss=40.606853  α=0.2559  σ=0.9965  z₀ₘ=6.62e-02  k=0.4873  C=2.44e+06  T0=280.18
    Epoch 380/500  loss=40.589775  α=0.2559  σ=0.9965  z₀ₘ=6.57e-02  k=0.4874  C=2.44e+06  T0=279.73
    Epoch 390/500  loss=40.575798  α=0.2559  σ=0.9965  z₀ₘ=6.52e-02  k=0.4875  C=2.44e+06  T0=279.36
    Epoch 400/500  loss=40.562485  α=0.2558  σ=0.9966  z₀ₘ=6.47e-02  k=0.4877  C=2.44e+06  T0=279.08
    Epoch 410/500  loss=40.549629  α=0.2558  σ=0.9966  z₀ₘ=6.42e-02  k=0.4881  C=2.43e+06  T0=278.89
    Epoch 420/500  loss=40.535263  α=0.2558  σ=0.9966  z₀ₘ=6.36e-02  k=0.4885  C=2.43e+06  T0=278.81
    Epoch 430/500  loss=40.518883  α=0.2558  σ=0.9966  z₀ₘ=6.31e-02  k=0.4890  C=2.43e+06  T0=278.80
    Epoch 440/500  loss=40.499733  α=0.2558  σ=0.9967  z₀ₘ=6.25e-02  k=0.4895  C=2.43e+06  T0=278.87
    Epoch 450/500  loss=40.477989  α=0.2558  σ=0.9967  z₀ₘ=6.19e-02  k=0.4901  C=2.42e+06  T0=279.00
    Epoch 460/500  loss=40.458652  α=0.2558  σ=0.9967  z₀ₘ=6.13e-02  k=0.4906  C=2.42e+06  T0=279.17
    Epoch 470/500  loss=40.436852  α=0.2558  σ=0.9967  z₀ₘ=6.07e-02  k=0.4912  C=2.42e+06  T0=279.36
    Epoch 480/500  loss=40.415653  α=0.2558  σ=0.9967  z₀ₘ=6.00e-02  k=0.4917  C=2.42e+06  T0=279.56
    Epoch 490/500  loss=40.394508  α=0.2558  σ=0.9967  z₀ₘ=5.94e-02  k=0.4922  C=2.42e+06  T0=279.76
    Epoch 499/500  loss=40.374382  α=0.2558  σ=0.9967  z₀ₘ=5.88e-02  k=0.4924  C=2.41e+06  T0=279.76
  [✓] Results saved →  /Users/hsc/Paper📑/Submission/paper-2026-lsm-diff-energy/Experiments/discussion/sigma up limit 1.5 Exp-ALL/3.RHS/Ejin/
      Final loss: 40.374382
      Final α=0.2558  σ=0.9967  z₀ₘ=5.88e-02  k=0.4924  C=2.41e+06
