Wnd,H2O,Hs,LE,Ustar,L
2.18556,2.241954,6.78185,1.88364,0.0896762,-8.70235
3.24313,2.333592,-28.795,-0.409078,0.173011,14.7186
4.77306,2.53638,-32.1376,-0.105256,0.221416,27.6433
5.88282,2.709846,-31.6287,0.334287,0.277498,55.2941
6.53207,2.78811,-43.9496,-0.98152,0.327398,65.3542
5.72482,2.805678,-35.1002,-1.53921,0.289403,56.5194
4.46665,2.821824,-33.0957,-1.59077,0.245446,36.565
3.60888,2.556234,-4.84106,0.437091,0.110601,22.8686
3.81048,2.303262,-8.46328,-0.592482,0.135666,24.1379
3.72177,2.377152,-20.8211,-5.21862,0.165723,17.8847
4.53126,2.622186,-22.7394,-2.08111,0.179541,20.8245
5.32312,2.688246,-34.0401,-2.05527,0.241708,33.9429
4.89941,2.797559999999999,-34.5984,-3.15814,0.22874,28.3031
3.41054,2.567304,-11.5968,-1.19247,0.10177,7.43627
3.45663,2.56896,-10.2198,-0.879501,0.10533,9.35684
2.43577,2.618748,-6.04311,-1.91644,0.114642,20.4057
2.91647,2.781234,0.946552,5.46639,0.161424,-363.786
3.12175,3.18303,-11.762,-2.31062,0.153891,25.3749
3.36941,3.154482,10.6349,2.05454,0.144686,-23.3273
4.41041,3.379392,14.6334,-5.33014,0.28831,-134.179
7.01654,3.693204,85.1362,1.94206,0.370897,-49.109
9.82704,3.782411999999999,142.936,3.04371,0.54656,-93.5994
9.55918,3.642462,166.445,-0.800731,0.49713,-60.4903
8.48948,3.538404,190.697,3.49271,0.418507,-31.499
7.62577,3.433734,277.714,2.8713,0.490493,-34.8157
7.545,3.472092,288.514,-0.0625611,0.368398,-14.1956
7.86356,3.425382,308.154,4.29263,0.408972,-18.1762
8.76924,3.379661999999999,289.456,3.11686,0.487994,-32.8593
9.86277,3.35799,347.725,4.96601,0.585253,-47.1593
10.3149,3.29382,300.563,4.34825,0.49114,-32.232
9.94402,3.362652,304.254,1.97259,0.471135,-28.0921
9.83253,3.247164,264.152,-0.246354,0.513371,-41.8401
11.7705,3.02346,246.643,2.67151,0.598151,-70.8454
12.0583,2.906298,202.365,8.09222,0.595146,-85.0261
12.214,2.975633999999999,171.939,-0.508494,0.587536,-96.2553
12.7188,3.103758,130.026,-0.812132,0.695553,-211.199
12.1846,3.214638,47.9725,2.76991,0.610661,-387.495
11.6857,3.192984,35.9679,1.50051,0.617522,-534.545
11.6612,3.14298,22.3225,-1.77726,0.614737,-849.763
