Wnd,H2O,Hs,LE,Ustar,L
3.45405,5.4537119999999994,13.5107,2.76361,0.106482,-6.79215
3.44219,5.451516000000001,2.67654,0.847444,0.0367149,-1.40573
4.03835,5.43258,-11.7422,0.186481,0.0444151,0.567309
4.20909,5.4408959999999995,-16.3009,-0.514504,0.083456,2.71167
3.88651,5.383008,-31.4763,-1.1825,0.11616,3.78701
3.546,5.273766,-32.8988,-1.17315,0.122564,4.25758
2.89745,5.107842000000001,-50.1018,-5.01583,0.273495,31.0642
3.21908,5.139396,-64.1141,5.52548,0.318077,38.1906
2.66448,5.0161500000000006,-58.7293,9.20554,0.307921,37.8225
2.44841,4.989599999999999,-11.9653,-1.28598,0.199745,50.6739
2.79101,4.919472,-32.9938,1.66553,0.187911,15.3023
1.69322,4.874796,-46.4426,-3.21997,0.20871,14.8973
2.16827,4.877334000000001,-25.384,-2.76245,0.186605,19.4908
3.9573,4.701816,-70.095,15.4803,0.510883,144.907
3.81414,4.671036,-161.366,-6.53259,0.655407,132.912
3.24031,4.640706,-42.821,-2.48827,0.211117,16.7531
2.75925,4.624560000000001,-14.7763,-0.624629,0.133845,12.3799
1.20245,4.653162,3.2331,4.4462,0.199616,-187.793
1.97478,4.657374,59.0972,8.74408,0.173994,-6.80409
1.91752,4.646483999999999,80.7327,10.0525,0.143073,-2.76934
1.48657,4.654926000000001,151.43,18.8753,0.20859,-4.57633
2.34799,4.67055,162.32,16.8807,0.270536,-9.31438
2.4375,4.727772,199.754,21.1724,0.166095,-1.75188
1.61167,4.716846,238.026,15.7848,0.355816,-14.4552
1.37192,4.768560000000001,254.425,18.3067,0.206083,-2.62715
1.84402,4.781106,267.079,24.5974,0.361142,-13.4599
1.9936,4.736142000000001,329.091,20.1691,0.32676,-8.08987
2.69556,4.748094,339.987,22.3088,0.244276,-3.2701
2.20906,4.75047,301.825,17.0274,0.270637,-5.00902
1.51628,4.7521260000000005,272.449,14.503,0.279215,-6.09215
2.03094,4.707827999999999,319.554,11.0591,0.500476,-29.9029
2.24601,4.724136000000001,253.14,15.4014,0.403438,-19.7705
1.99883,4.71537,205.741,8.7776,0.462423,-36.6214
2.84268,4.697801999999999,205.798,11.6412,0.396346,-23.047
2.69791,4.685472,198.073,9.05921,0.302198,-10.6128
2.80785,4.658201999999999,140.325,5.33864,0.437274,-45.3774
3.3786,4.65903,116.118,7.5591,0.29736,-17.243
2.83168,4.636386000000001,67.8617,2.90289,0.220644,-12.0536
2.69532,4.669272,25.8932,0.56529,0.233028,-37.2146
3.2177,4.7469600000000005,-6.03148,-0.879849,0.195144,93.8331
2.61666,4.770252,-18.9434,-2.43872,0.137419,10.4351
2.81653,4.692060000000001,-42.2198,-5.3211,0.226828,21.0593
4.01952,4.541004,-17.0333,-2.17318,0.0787517,2.18489
3.96669,4.441824,-22.6958,-1.5122,0.106063,4.00672
4.10204,4.423914,-25.9438,-1.62857,0.0814726,1.58885
4.251,4.423661999999999,-21.2535,-1.13976,0.0853639,2.2307
4.60908,4.429008,-28.3957,-1.45826,0.103051,2.93713
4.90341,4.41585,-26.2259,-1.46146,0.131459,6.60012
4.97637,4.433022,-26.3067,-1.27415,0.119702,4.96759
4.79402,4.43538,-23.8755,-0.261449,0.0901047,2.33373
4.46155,4.39416,-5.41003,0.0451685,0.0603852,3.09961
4.64841,4.390434,-16.6088,-0.586686,0.0980571,4.32207
4.59796,4.407552,-14.1195,-0.10972,0.103719,6.01634
4.34699,4.400028,-18.538,-0.650321,0.105603,4.83651
2.83515,4.365900000000001,13.6194,-0.154465,0.121997,-10.1486
2.45013,4.347612,-8.54824,-0.41453,0.0757426,3.86891
3.21775,4.378338,-10.4082,-0.081133,0.07466,3.04271
3.47215,4.41387,-1.31893,0.430523,0.0448983,5.2217
1.94159,4.410162,-14.5711,-0.857199,0.0836757,3.05922
2.57484,4.41396,-10.1181,-0.574238,0.035817,0.345548
2.58712,4.413798000000001,-1.63186,-0.0453224,0.0897127,33.6662
2.21826,4.418279999999999,-2.81704,-0.0823349,0.0609032,6.10176
2.65022,4.41612,-10.051,-0.539377,0.0635168,1.94021
2.19504,4.421088000000001,-15.9797,-0.807983,0.109809,6.30697
2.85032,4.44429,-7.04496,-0.275094,0.0718951,4.01687
0.109189,4.481676,2.38986,0.360455,0.184173,-199.172
0.837549,4.54347,20.993,6.60828,0.100604,-3.69537
0.616329,4.510314,46.6582,7.45233,0.0794111,-0.818085
1.13295,4.593617999999999,98.7086,12.7002,0.09162,-0.593901
1.42128,4.576716,173.35,6.75343,0.232915,-5.55568
1.94551,4.621230000000001,238.484,16.8471,0.145146,-0.977304
2.12131,4.797612,227.442,11.2385,0.232858,-4.23022
2.52087,4.756212,185.056,9.92943,0.165047,-1.85121
2.65042,5.000544,167.287,9.64631,0.245076,-6.70406
2.39181,4.770359999999999,197.878,16.1867,0.250173,-6.02954
2.62218,4.6730339999999995,245.784,13.5066,0.285467,-7.21079
2.35697,4.630842,226.186,16.9382,0.269992,-6.62838
2.60391,4.657967999999999,257.883,15.8045,0.242003,-4.18512
2.19369,4.641696,289.44,23.577,0.273585,-5.38886
1.83596,4.656798000000001,261.143,17.9352,0.0932007,-0.236057
2.01221,4.6637640000000005,289.908,17.0975,0.257912,-4.50499
2.69025,4.636584000000001,350.534,17.3274,0.287989,-5.18564
3.04151,4.535622,262.724,15.6619,0.312346,-8.82491
2.55372,4.545,151.022,2.25443,0.2362,-6.63809
2.87765,4.505526,151.18,9.90244,0.351237,-21.8067
2.90885,4.443984,82.6434,1.90726,0.164841,-4.12344
2.75033,4.476222,62.4324,2.2977,0.204177,-10.3742
2.44514,4.491288,-0.77385,0.488664,0.176386,539.633
1.89335,4.676598,-13.4198,0.154484,0.149515,18.9589
2.03768,4.640544,-21.59,-0.524893,0.193839,25.6847
3.16851,4.5352619999999995,-21.0833,-4.40279,0.14163,10.2619
3.41968,4.384962000000001,-16.1116,-0.980023,0.0952382,4.08419
3.92111,4.343868,-15.1006,-0.753858,0.103504,5.59357
4.11875,4.3837019999999995,-14.905,-0.889838,0.129385,11.0704
3.88429,4.406112,-13.3973,-0.673124,0.125306,11.1877
4.16251,4.378716000000001,-13.1419,-0.528126,0.096837,5.2635
4.6012,4.338594,-23.5364,-1.12959,0.111102,4.43759
4.93701,4.314384,-24.769,-1.18596,0.125095,6.01888
5.20639,4.300974,-28.0473,-1.32808,0.137963,7.13073
4.99,4.283424,-30.4261,-1.59687,0.144756,7.59164
4.77638,4.279464,-37.0155,-1.95232,0.125807,4.09596
3.87225,4.275414,63.9871,3.40494,0.0717866,-0.44024
2.61918,4.293792000000001,-8.33344,-0.312353,0.0897698,6.61301
3.10735,4.298940000000001,-14.5887,-1.01492,0.0678283,1.62888
3.14605,4.304034,-6.32399,-0.210938,0.0472659,1.27145
1.9063,4.296564,-14.4144,-0.983603,0.0907379,3.94697
2.76463,4.292514,-1.28805,0.115587,0.0730477,23.0469
2.89028,4.311305999999999,-14.9751,-0.898327,0.0681648,1.61075
2.77457,4.3168679999999995,-7.12187,-0.474252,0.0578551,2.0711
2.52635,4.312008,-2.58511,-0.212133,0.0677692,9.17075
2.58978,4.312278,-12.1273,-0.647763,0.0240188,0.0870357
2.40945,4.319028,-15.5133,-0.872785,0.114153,7.30616
2.12094,4.321206,-10.0658,-0.424947,0.106737,9.20893
0.648408,4.3591679999999995,-3.8718,3.32038,0.129251,42.5268
1.18962,4.345884,20.3225,1.27372,0.136811,-9.60747
2.08527,4.4476379999999995,61.2035,6.84863,0.14952,-4.16331
2.65299,4.661495999999999,132.93,14.8262,0.253782,-9.37444
2.51827,4.889034,167.045,24.5125,0.159878,-1.86555
3.0376,4.83057,199.212,9.93923,0.249293,-5.9296
3.05028,4.824882,263.939,2.37073,0.314602,-8.99325
2.95242,4.7185559999999995,223.223,19.0078,0.236533,-4.51776
2.93715,4.744871999999999,283.187,17.3374,0.269112,-5.24263
