Wnd,H2O,Hs,LE,Ustar,L
1.86098,5.21804,1.03908,-0.69456,0.12337,-144.3232841565106
1.38872,4.72649,0.16093,-2.22907,0.10164,-2601.156069364162
0.86451,4.90542,-0.3852,-0.23697,0.11895,323.7410071942446
1.79402,4.92639,-2.13937,-0.85834,0.1704,173.41040462427745
2.21457,4.76893,-2.94324,-13.6334,0.20622,180.0
2.19322,4.8499,-0.77591,-1.75127,0.13742,226.81451612903223
1.03429,5.17907,-8.18325,31.9189,0.26191,217.91767554479415
2.59038,5.52986,-18.1098,78.514,0.29968,152.49068112504236
5.27507,4.11197,28.0518,15.6594,0.61521,-617.283950617284
3.96669,4.07686,1.38531,-8.89124,0.6011,-18750.0
5.08967,4.29874,16.3329,-6.01992,0.47854,-526.9320843091334
3.73173,4.38068,10.3186,0.25374,0.32743,-261.3240418118467
2.97454,4.30053,8.06734,2.87028,0.26419,-172.4798773476428
4.05539,4.21736,7.80291,0.64558,0.29906,-262.85046728971963
3.53159,4.22909,7.21136,0.07746,0.29235,-266.9039145907473
3.05641,4.23427,7.68698,-1.17184,0.22494,-115.1484135107472
2.10214,4.23037,8.06967,-0.34722,0.1682,-45.578851412944395
1.08172,4.271,9.02917,0.23665,0.07529,-3.641012363259758
0.95993,4.14476,16.9742,2.17639,0.11645,-7.124988125019791
1.68833,3.95575,50.4612,10.0216,0.14175,-4.304407713498623
1.15536,3.83384,74.5992,3.70075,0.15877,-4.126282586170534
0.51976,3.75637,92.56,7.86324,0.12861,-1.763461086292029
0.6903,3.70519,125.816,10.6809,0.10487,-0.7030920425605051
0.9875,3.65538,142.863,9.365,0.19539,-4.008301638059269
1.1843,3.58395,122.588,7.57917,0.09104,-0.4724831087288629
1.01669,3.4187,195.814,-10.8531,0.20859,-3.579268874677866
1.32918,2.93487,191.088,-5.59176,0.27841,-8.701032522526006
1.44338,2.70084,191.83,26.2749,0.19906,-3.135189365437673
0.90219,2.27126,211.848,22.1465,0.28855,-8.654345443006326
0.45075,2.04359,164.151,-4.89371,0.39982,-29.926182084192323
0.52097,1.81838,247.881,12.1506,0.4323,-24.91556392226344
1.25009,1.73075,171.136,8.72614,0.15056,-1.523729548163398
1.5041,1.54409,146.318,6.83681,0.12367,-0.987528610898366
1.7596,1.26165,130.196,0.6708,0.18464,-3.70081006620338
2.43837,0.97983,105.488,10.2653,0.19429,-5.290445455507354
3.02429,0.64153,74.4579,-8.58773,0.22803,-12.264922322158624
3.3982,0.06377,51.1755,2.90443,0.25814,-25.6074659989757
2.88918,0.18472,3.90152,6.46665,0.21643,-180.72289156626508
2.60306,0.51508,1.47198,1.75102,0.18774,-320.9700427960057
2.62033,0.81839,-15.2264,4.59568,0.2568,86.5884163940735
2.5901,1.21425,-17.8817,6.98914,0.31777,140.4932875429285
3.10703,2.09691,-10.8394,-28.1099,0.41625,442.04322200392926
6.08383,3.0059,-22.8928,3.17268,0.39208,203.3438770899232
6.89451,3.18453,-23.978,-3.31457,0.4571,302.62273032952254
6.53317,3.48277,-14.2714,-6.59549,0.3971,327.27272727272725
5.41862,3.67002,-5.38955,-6.0024,0.34197,533.8078291814946
4.55049,3.68444,-17.078,-3.07713,0.42764,347.22222222222223
4.28727,3.6835,-11.8435,-4.49459,0.37846,342.9878048780488
2.83112,3.46316,-35.1904,-19.6092,0.35126,91.31493506493509
2.31627,3.18275,-8.98531,-11.2609,0.26812,153.06122448979593
2.55638,3.25068,-12.2935,1.99328,0.2973,164.83516483516482
1.59777,3.0178,-29.3908,-13.8796,0.26243,45.73635532066267
0.28541,2.77531,9.04099,-6.94852,0.29089,-217.2863351038146
0.9518,2.25149,-11.9195,-7.02103,0.13508,15.267175572519085
1.38374,1.97127,-16.2438,-8.96781,0.1545,16.792924581109826
1.71492,1.73239,-9.991935,,0.08937,-6.215297919946963
1.90581,1.67834,-3.74007,-0.12851,0.10923,26.48772735299311
1.65302,1.62043,4.68699,5.49541,0.15903,-61.34969325153374
1.77934,1.52141,3.578263333333333,,0.09282,51.130553346210654
1.90494,1.65969,2.4695366666666665,,0.08069,-7.168002038898358
1.8864,2.10779,1.36081,-9.77392,0.18569,-597.609561752988
0.45926,2.35952,16.0394,4.62092,0.1859,-30.0320341697811
0.46616,2.10125,-14.7682,-13.0061,0.1031,5.389673385792821
0.69641,2.0343,17.9138,5.56728,0.13164,-9.538950715421304
0.2615,2.24966,-5.59496,0.12436,0.15825,54.06054781355118
1.11986,2.12536,-0.12754,5.01758,0.15593,-1914.8936170212764
0.91245,2.24269,6.61389,1.31671,0.13272,-26.67298915298441
0.54895,2.44933,19.0888,-1.90777,0.16922,-19.490644490644492
1.72268,2.64898,51.8996,5.05032,0.17937,-8.444202585802481
2.07393,2.74682,41.0799,2.91653,0.17753,-10.36150126640571
1.68187,2.76156,56.1041,6.8153,0.1498,-4.544536457281358
1.24421,2.62933,86.1037,6.75614,0.13426,-2.136275380138336
1.16989,2.54619,104.691,5.00417,0.18672,-4.73305566073457
0.89191,2.37768,95.5064,13.6051,0.27592,-16.64816870144284
1.2666,2.12655,126.196,6.04883,0.19667,-4.585940525446874
1.85668,2.02289,149.508,11.1281,0.23878,-6.915523044059565
1.30312,1.86659,95.7654,4.79927,0.19285,-5.69130368796479
1.94463,1.83576,91.2343,5.5442,0.17789,-4.685157421289356
2.24584,1.78031,92.7079,5.76496,0.26187,-14.703479823558242
2.437,1.73186,97.017,6.98849,0.26502,-14.556511612861485
1.85235,1.60041,71.572,2.91286,0.19506,-7.8817388867481695
2.25375,1.55019,56.4962,3.10148,0.16649,-6.203046385002412
1.65512,1.51421,38.9872,3.41153,0.1145,-2.918533987949697
1.55299,1.42366,24.3067,0.65431,0.1697,-15.29467745224662
1.47086,1.41786,9.54511,1.08608,0.13524,-19.611261221999477
0.942,1.53477,1.15656,-0.83266,0.0525,-9.951348960636889
0.78826,1.64496,2.81753,-1.44429,0.07874,-13.61573373676248
0.29738,1.78266,1.9706466666666667,,0.04986,-95.48058561425844
0.44824,1.88,1.1237633333333332,,0.06181,18.02162595114137
0.08307,1.90696,0.27688,0.54923,0.13233,-571.7916137229987
1.12528,1.83112,-10.2827,-4.26183,0.1073,8.948990752709555
0.88686,1.80167,-2.10522,0.83381,0.10751,46.087668988119624
0.24713,1.65746,-5.23752,-2.30281,0.12023,24.690003292000437
1.92034,1.65793,0.01607,1.34597,0.11915,-1380.3680981595091
2.28259,1.93213,-1.793495,,0.0892,-58.36575875486381
1.47542,1.96087,-3.60306,-2.45147,0.13675,52.101424105592216
0.22808,1.94859,62.2438,3.38958,0.31214,-37.153236459709376
0.17637,1.7657,8.10419,2.10011,0.26434,-171.2980586220023
1.38384,1.6195,44.3793,5.14928,0.21437,-16.811745806403405
1.39897,1.63798,14.0192,-0.31948,0.18732,-35.79098067287043
2.546,1.57923,9.244489999999999,,0.08968,14.415222474933527
0.80242,1.56907,4.46978,1.2571,0.12604,-33.60465984616533
0.45047,1.60004,-39.1828,-2.14408,0.24429,28.271659232267385
1.08395,1.58301,9.1547,-1.05133,0.10886,-10.812109562710235
0.25962,1.64501,-27.8909,-7.35831,0.16984,13.187586085631391
0.15925,1.71912,-13.7929,-6.62682,0.15042,18.30012200081334
0.12604,1.69397,24.6456,-8.50901,0.23087,-38.809831824062094
